amount,pay_time,brand_name,category,bank_account,pay_date,transaction_unique_number,transaction_type
3469,06:43:42,AP. SA GERRERIA,¼÷¼Ò,,2022-09-24,,Ãâ±Ý
6768,18:12:58,EROSKI CITY COLONIA DE,¼îÇÎ,,2022-09-24,,Ãâ±Ý
80683,07:50:43,E.S.MORA VICENS,¼îÇÎ,,2022-09-24,,Ãâ±Ý
92955,07:48:13,BRISAS DE MAR,¼÷¼Ò,,2022-09-24,,Ãâ±Ý
52079,16:48:59,EL PUENTECITO,½Äºñ,,2022-09-25,,Ãâ±Ý
40634,08:38:04,AGROTURISME GOSSALBA,¼÷¼Ò,,2022-09-25,,Ãâ±Ý
6180,08:36:51,ASPIT TREVISO SUD    -,±³Åë,,2022-09-26,,Ãâ±Ý
356753,08:05:49,Lavaredo Sport Misurin,¼îÇÎ,,2022-09-27,,Ãâ±Ý
42800,19:42:50,PARCHEGGIO ALLE TRE CI,±³Åë,,2022-09-27,,Ãâ±Ý
45430,19:01:50,FUNIVIE CIAMPINOI SPA,±³Åë,,2022-09-28,,Ãâ±Ý
62481,11:46:44,CABINOVIA SASSOLUNGO,±³Åë,,2022-09-28,,Ãâ±Ý
861784,08:30:22,LUFTHAN2202483550346,Ç×°ø,,2022-09-29,,Ãâ±Ý
861784,18:27:59,LUFTHAN2202483550347,Ç×°ø,,2022-09-29,,Ãâ±Ý
46180,05:59:10,ENI BAZZERA SUD,±³Åë,,2022-09-30,,Ãâ±Ý
29380,03:45:05,AUTOST BZN /EGA EGGEN/,±³Åë,,2022-09-30,,Ãâ±Ý
