amount,pay_time,brand_name,category,bank_account,pay_date
52079,16:48:59,EL PUENTECITO,식비,,2022-09-25
40634,8:38:04,AGROTURISME GOSSALBA,숙소,,2022-09-25
6180,8:36:51,ASPIT TREVISO SUD    -,교통,,2022-09-26
356753,8:05:49,Lavaredo Sport Misurin,쇼핑,,2022-09-27
42800,19:42:50,PARCHEGGIO ALLE TRE CI,교통,,2022-09-27
45430,19:01:50,FUNIVIE CIAMPINOI SPA,교통,,2022-09-28
62481,11:46:44,CABINOVIA SASSOLUNGO,교통,,2022-09-28
861784,8:30:22,LUFTHAN2202483550346,항공,,2022-09-29
861784,18:27:59,LUFTHAN2202483550347,항공,,2022-09-29
46180,5:59:10,ENI BAZZERA SUD,교통,,2022-09-30
29380,3:45:05,AUTOST BZN /EGA EGGEN/,교통,,2022-09-30
